,GFP5-1 Sum,GFP5-2 Sum,GFP9-1 Sum,GFP9-2 Sum,O2.9-1 Sum,O2.9-2 Sum,O2.10-1 Sum
Dctn1,7190.19,8228.58,5940.38,6652.45,7602.54,7513.79,5635.3
Mnt,503.893,256.742,260.843,328.224,225.269,218.386,189.775
Ebf3,401.351,364.993,370.611,335.194,419.581,434.886,225.788
Prkcsh,655.62,691.63,700.683,742.335,851.37,827.508,838.552
Eef2k,89.6041,93.2157,84.1882,95.5196,104.137,89.8378,95.8769
Serpinb8,488.503,511.345,420.232,407.122,771.509,761.909,710.758
Prdx4,2205.64,2568.02,2345.02,2380.04,3081.14,3168.04,2158.6
Diaph1,4804.33,3089.12,4584.26,3399.37,4313.41,4685.09,2797.88
Eftud2,6730.25,7332.83,7034.51,7326.78,6582.21,6774.62,6741.24
Ercc2,174.58,207.042,160.07,178.962,135.417,109.03,152.116
Galnt4,406.072,358.749,382.16,415.238,475.246,478.609,422.611
Trove2,4376.25,4660.89,3670.37,3980.59,3797.04,3765.21,3312
Ell,113.438,117.208,117.097,110.27,127.616,136.776,132.113
Bub1,566.044,549.166,447.488,584.886,456.438,417.005,509.931
Pik3r2,154.312,177.93,155.938,198.246,141.499,130.948,130.97
Mapk12,1188.28,1181.78,1041.51,1036.62,834.481,812.468,725.756
Galnt1,906.447,831.208,731.095,725.775,663.352,682.175,371.046
Aip,1227.94,1561.16,1305.7,1565.24,1639.38,1615.27,1268
Flot1,2883.99,3201.49,2076.43,2329.73,1859.18,1825.06,1929.81
Numbl,632.858,718.904,669.662,698.259,735.061,726.957,640.695
Cyth3,548.109,425.8,607.018,569.214,536.154,558.108,620.308
Tuft1,93.1108,96.6656,69.6657,86.7083,40.531,39.5339,28.1028
Sdcbp,1662.35,1715.69,1391.98,1587.82,1018.65,901.589,477.65
Atox1,813.878,868.856,849.804,1029.59,999.311,1062.3,1031.78
Degs1,377.164,124.326,463.913,228.518,433.568,513.945,528.834
Pex5,1512.44,1898.49,1453.11,1634.86,1970.85,2130.4,1288.38
Sh2b3,6.6494,9.68044,6.12226,10.645,6.5455,7.21549,7.34677
Snap23,1723.6,1695.19,1476.79,1537.67,1358.93,1274.93,1153.31
Wrn,511.614,494.626,540.969,553.292,652.829,634.862,751.434
Psmb1,1909.17,2222.14,1947.7,2271.83,1725.8,1767.19,1465.07
Hdac1,2246.67,2523.97,2100.85,2317.86,2164.51,2195.6,1798.35
Map2k3,1735.13,1322.22,2587.38,2057.84,2749.66,2887.63,2960.14
Ndufb11,320.686,283.191,379.257,295.821,397.254,400.022,465.921
Sypl1,307.634,258.813,276.037,239.62,271.79,253.753,304.698
Gsto1,1730.36,1927.19,2007.19,2058.48,2551.18,2332.77,2616.82
Man2b1,342.697,339.677,411.198,463.131,321.335,322.163,316.999
Gclm,821.345,969.636,1024.55,1048.72,853.224,834.033,1313.72
Amacr,1189.17,1397.56,1043.1,1271.91,1361.38,1366.59,1523.69
Kif3c,1145.78,1196.19,1168.52,1255.93,1305.11,1160.08,1203.88
Kif1c,3056.19,3187.73,2960.09,2916.64,3000.86,3129.22,2911.82
Ptgis,974.047,362.309,684.121,412.369,256.414,251.983,149.314
Dscr3,453.932,428.338,411.695,468.376,401.63,438.314,450.502
Agpat1,433.845,127.078,464.066,236.892,442.97,455.096,929.312
Scarb2,1562.6,1581.9,1490.4,1494.34,1170.29,1161.7,1410.53
Atn1,902.536,1039.56,815.544,898.622,1316.37,1269.21,834.577
Grcc10,192.936,220.881,288.3,165.377,347.246,309.34,193.96
Phb2,3442.78,3201.54,2741.35,2875.71,3842.42,3717.74,3617.96
Emg1,844.731,868.755,870.064,860.269,951.945,896.957,1161.92
Polr1a,3536.75,2571.02,3319.91,2665.2,3026.21,3205.42,4786.31
Atpif1,124.894,108.509,144.87,117.502,68.9849,82.0017,77.2071
Terf2,79.8112,50.0073,97.3407,77.2801,137.513,125.797,153.904
Slc30a4,44.3334,40.809,48.4832,47.6644,44.5414,45.2987,31.2645
Bet1l,223.364,219.766,229.483,219.286,261.712,277.346,279.471
Nedd9,1108.28,1424.93,1102.13,1231.37,1062.47,1191.66,1043.57
Cdk2ap1,287.194,358.941,294.154,315.804,267.446,246.554,247.324
Ddt,583.529,996.399,789.346,846.981,874.889,986.381,874.665
Cpsf2,3064.14,3903.96,3041.73,3603.48,2867.92,2728.83,2417.84
Psmd4,2318.04,2571.09,2226.39,2303.13,2085.54,2014.46,1975.34
Kifc3,19.2858,12.9509,22.7556,24.1582,31.3365,26.0299,16.4965
Ptpn9,386.098,376.916,425.16,415.231,465.167,429.766,537.849
Nsmaf,294.696,255.844,317.03,307.214,246.871,252.692,188.147
Pkd2,301.603,83.3291,574.623,249.43,521.008,550.154,959.712
Exoc7,2270.53,2341.37,1907.57,2087.82,2223.82,2157.6,1819.11
Chek1,1577.54,1859.39,1564.32,1814.61,1962.52,1738.56,1403.75
Dhx15,5580.36,4240.76,6062.49,5492.29,5055.91,4914.29,6076.91
Purb,3440.88,4187.63,3507.02,3923.12,1691.09,1722.09,1767.62
Slc6a6,678.458,689.791,505.421,500.145,348.142,347.172,376.035
Srsf5,1962.05,2234.69,1949.56,2110.68,2096.93,2071.56,1964.65
Kpna4,2425.01,2955.63,2382.53,2790,2236.18,2200.69,1922.71
Kpna3,2076.86,2205.02,2004.23,2116.85,1500.33,1443.38,1442.36
Kpna6,1511.66,1704,1480.28,1726.85,1161.85,1068.51,871.775
Capn1,3032.69,2782.75,2998.74,2937.79,2900.51,2899.95,2896.23
Ifi203,76.1045,39.0405,64.9429,49.1773,157.821,147.28,96.859
Nrp2,616.473,531.626,925.838,746.114,1718.5,1846.12,1225.92
Abcc1,2281.35,1815.67,2093.11,1987.76,3706.72,3786.47,3730.95
Anp32a,2834.28,3508.47,2796.11,3058.73,2323.41,2146,1765.62
Exoc4,1963.09,1662.66,1664.4,1511.39,2007.71,2056.61,1970.58
Ppef2,159.577,172.136,150.398,184.419,158.585,106.442,138.88
Phyh,19.1122,23.0626,11.186,16.4093,24.0885,17.7875,31.7535
Hax1,224.715,261.518,252.098,259.889,305.606,277.127,319.159
Pld3,669.857,686.492,351.106,376.867,346.886,310.439,531.368
Bok,132.926,111.702,122.6,118.607,238.319,271.887,196.747
Crcp,144.558,158.22,129.193,165.201,119.013,110.747,103.275
Dhodh,411.452,490.16,397.942,440.359,669.901,654.126,826.894
Ppt2,15.1731,18.8889,12.1235,8.68812,14.0485,15.5761,25.0131
Fkbpl,46.7203,70.952,42.0529,50.9459,70.7535,52.2412,41.3868
Ech1,926.809,1030.25,888.742,866.496,1301.47,1185.77,1085.23
Fkbp8,1787.21,1292.21,1820.89,1357.8,1959.45,2231.68,2737.6
C1d,732.344,685.921,741.644,735.462,741.287,736.782,667.271
Edil3,19.1771,22.3526,26.0053,23.7466,24.2105,29.3674,20.3677
Clk3,162.131,125.512,135.597,135.433,120.425,116.018,108.929
Clk4,164.724,91.5929,183.181,120.578,138.177,146.95,218.089
Cdk14,212.174,177.787,237.063,244.619,228.073,246.103,200.287
Rabep1,2070.8,2533.36,2026.39,2250.46,2379.86,2233.88,2351.85
Cd151,1091.15,1003.6,896.769,866.084,598.586,616.385,642.398
Psmd14,2021.13,2335.86,2024.52,2254.86,2019.63,1950.12,1938.3
Ift81,129.368,134.274,177.104,162.369,175.654,198.661,228.613
Adam10,1884.03,1692.96,1717.57,1533.08,1906.74,2065.75,1820.6
Npc1,1445.08,1381.88,890.27,868.463,825.532,795.908,718.79
Scamp3,854.507,809.142,855.831,933.605,1002.57,939.029,1021.57
Pmm1,1516.52,1875.35,1335.24,1539.83,1269.18,1241.95,1273.82
Bet1,134.04,77.912,109.305,77.9756,168.335,232.225,214.912
Axin1,62.9404,83.0703,69.9902,71.2514,82.0196,79.6147,83.0889
Hyal2,13.9173,16.4812,13.612,14.6062,13.4694,10.3671,14.7386
Stag2,2925.84,2541.69,3357.9,3063.4,3921.12,3695.87,3686.8
Anxa3,5498.39,6976.69,4340.63,5027.36,3255.75,3148.09,2803.6
Anxa8,2325.46,2545.11,2981.31,3176.4,2377.12,2187.12,3235.8
Ap1b1,6646.69,7777.33,6530.02,7333.24,6084.31,5800.29,5791.6
Capn6,25.9058,16.3842,18.3582,20.5109,614.068,697.566,28.437
Cetn3,368.199,529.118,392.989,504.701,529.89,449.844,259.914
Pold2,519.233,607.987,490.839,518.07,609.98,637.495,619.851
Neu1,68.731,81.874,80.4948,89.8495,59.269,52.455,91.3609
Itgb1bp1,254.848,301.551,233.121,252.927,207.581,193.214,226.618
Mrps12,148.847,152.215,173.965,157.664,215.602,197.401,203.339
Myadm,1112.66,923.263,984.517,980.866,751.02,911.596,864.657
Ndufa1,175.195,174.131,156.129,214.361,116.265,127.417,238.188
Nudc,5200.74,6450.94,5409.49,6269.81,4297.47,3992.41,2683.79
Pnn,2926.02,3427.15,3204.47,3617.17,3274.47,2963.8,2700.79
Sptlc1,607.353,424.623,661.986,520.08,612.339,656.12,762.542
Enc1,24.3871,24.2317,15.0573,22.1196,15.3818,10.0543,9.04248
Ccrn4l,96.8914,103.871,71.824,100.26,45.461,49.6737,53.5396
Ring1,577.69,653.05,637.806,670.187,776.481,834.477,749.666
Hnrnph1,2067.96,2350.1,2538.98,2731.74,2015.36,1936.34,1965.25
Api5,4496.53,3922.97,4916.83,4697.77,4647.83,4277.43,5104.77
Bcat2,1181.43,1408.7,1215.92,1240.37,1282.82,1263.01,1194.22
Timm44,2089.34,2363.16,2193.67,2023.13,2270.96,2275.41,2685.91
Cops5,2053.35,2276.09,2109.39,2223.16,1983.44,1870.77,2181.95
Slc1a4,604.581,509.758,527.621,508.911,878.095,857.784,1231.67
Calu,3497,3542.77,2899.63,2778.88,4876.53,4776.62,3491.97
Lsm2,863.743,917.1,658.672,748.991,784.712,719.039,531.757
Emp3,292.432,353.861,260.754,337.539,312.852,226.729,289.336
Rem1,175.454,200.72,184.335,184.014,303.451,303.195,308.951
Fxn,221.9,230.715,171.078,229.518,254.774,291.458,152.976
Pitpnm1,653.803,664.969,699.132,712.534,882.001,852.73,999.805
Psmb10,57.3167,58.6904,61.1184,62.8831,162.421,140.2,126.673
Rab33b,415.332,304.193,428.718,332.845,422.925,422.79,449.394
Gamt,492.958,601.667,433.859,528.497,767.688,761.866,695.748
Mrpl23,28.1009,32.5776,30.4955,30.821,32.7761,40.3372,40.6326
Per1,62.3568,58.9235,73.0243,73.1455,146.686,153.762,157.245
Sdc4,158.645,122.275,205.112,189.658,164.655,161.211,182.414
Zw10,1763.91,1921,1862.95,1965.64,2028.64,2062.29,2025.53
Pias3,44.3389,41.999,45.9907,53.4078,38.6062,40.8709,52.1373
Ptrf,1475.89,1277.03,1714.32,1382.26,3185.43,3246.36,1695.1
Ddost,1091.04,534.142,1096.82,651.57,1297.24,1328.04,1232.91
Aox1,20.6338,14.7551,17.1118,23.5047,34.9105,30.9747,57.7802
Ap3d1,6347.5,5286.3,7059.46,6038.31,6654.95,6481.73,7455.65
Srpk2,1052.75,1172.93,1099.67,1161.2,984.131,950.803,1058.51
Man2b2,514.895,585.531,518.094,612.086,947.824,867.855,651.716
Dapk3,1488.28,1060,1461.32,1144.56,1030.74,1115.12,941.78
Limk2,22.9594,18.4548,25.2866,26.8347,20.8057,31.8604,21.115
Dffa,122.919,131.922,109.063,127.637,80.0112,83.736,64.4793
Mafg,213.546,240.509,235.616,233.445,208.441,227.454,264.967
Maff,193.726,193.828,168.766,146.553,43.0667,42.1301,65.3289
Chka,323.543,315.952,368.134,383.096,165.902,149.894,264.566
Tpd52l1,57.8281,55.8972,6.94499,13.3602,12.898,15.9605,12.9549
Bysl,1892.42,1319.54,2005.67,1585.02,1658.37,1785.91,2375.52
Mllt10,112.342,112.942,115.177,118.121,119.458,129.717,108.899
Csnk2a2,1577.24,1000.65,1652.13,1376.04,1493.25,1550.4,2261.05
Zmat3,69.4373,79.575,73.0349,84.9024,55.8643,51.6155,102.094
Suv39h1,261.592,166.735,267.385,198.773,289.831,307.478,336.702
Hmgb3,2114.33,2122.53,2400.65,2301.2,2456.66,2396.48,1726.18
Itgb3,1401.3,1342.39,1423.61,1413.04,1411.05,1429.31,993.106
Cd200,681.099,582.763,587.567,576.997,160.46,149.676,92.8839
Reps1,1548.37,1728.91,1796.47,1906.07,1726.89,1644.01,1579.89
Siva1,167.172,200.649,210.211,242.237,200.867,202.477,149.294
Akap2,3834.55,4341.69,3463.84,3803.82,4115.41,3905.77,2832.73
Akap2,176.83,200.41,150.841,151.012,167.467,189.988,118.321
Bnip2,1032.57,1257.86,1184.99,1363.04,1034.33,957.494,1249.5
Smarce1,1129.02,1305.68,1070.2,1200,1052.98,1012.59,875.61
Dnajb6,1006.23,969.154,1031.19,977.423,601.549,589.201,691.052
Prkag1,1286.83,1284.69,1224.16,1313.46,1228.3,1091.04,1226.21
Pole2,632.582,587.473,606.489,627.086,551.572,567.451,537.338
Banf1,144.576,557.415,323.53,399.162,658.225,511.362,493.498
Rnf13,253.803,267.253,234.92,248.012,263.726,270.095,198.358
Tnk2,273.139,288.952,243.95,272.108,349.706,364.473,248.651
